"This allows you to use a WYSIWYG editor for the attribute. It is available only for Textarea attributes.","This allows you to use a WYSIWYG editor for the attribute. It is available only for Textarea attributes."
"This block handles the entity link widget.","This block handles the entity link widget."
"This block handles the entity view widget.","This block handles the entity view widget."
"This block handles the rss generation for an entity.","This block handles the rss generation for an entity."
"This block handles the subtree view widget.","This block handles the subtree view widget."
"This block is used to show the entities related to the category on the category list.","This block is used to show the entities related to the category on the category list."
"This block is used to show the entities related to the product on the product list.","This block is used to show the entities related to the product on the product list."
"This block lists the siblings of an entity","This block lists the siblings of an entity"
"This block lists your entities.","This block lists your entities."
"This controller handles the admin entity requests for EAV tree entities.","This controller handles the admin entity requests for EAV tree entities."
"This controller handles the admin entity requests.","This controller handles the admin entity requests."
"This controller handles the admin requestion for entity comments.","This controller handles the admin requestion for entity comments."
"This controller handles the admin widget requests.","This controller handles the admin widget requests."
"This controller handles the frontend request for an entity","This controller handles the frontend request for an entity"
"This happens for the default Magento theme and for themes with similar format for the product view page. For custom themes there the block might not appear.<br /><span class=""label label-info"">Info:</span> This field is available only if 'Link ""many to many"" with products' is set to 'Yes'.","This happens for the default Magento theme and for themes with similar format for the product view page. For custom themes there the block might not appear.<br /><span class=""label label-info"">Info:</span> This field is available only if 'Link ""many to many"" with products' is set to 'Yes'."
"This helps you choose your widget entity.","This helps you choose your widget entity."
"This holds the data added to the database tables on install.","This holds the data added to the database tables on install."
"This is a block used as parent for different tree behaving entities blocks","This is a block used as parent for different tree behaving entities blocks"
"This is always generated","This is always generated"
"This is always generated.","This is always generated."
"This is generated for all entities","This is generated for all entities"
"This is generated for each entity.","This is generated for each entity."
"This is generated for entities that have siblings","This is generated for entities that have siblings"
"This is generated if there are any tree behaving entities.","This is generated if there are any tree behaving entities."
"This is genereted for entities that behave as tree.","This is genereted for entities that behave as tree."
"This is the attribute code. It will be used in the logic of the extension. Use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.<br />There are some naming restriction. For example the code cannot be: ""data"", ""child","This is the attribute code. It will be used in the logic of the extension. Use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.<br />There are some naming restriction. For example the code cannot be: ""data"", ""child"
"This is the attribute label that will be visible in the back-end in the add/edit form and in some cases in frontend.","This is the attribute label that will be visible in the back-end in the add/edit form and in some cases in frontend."
"This is the attribute scope. It is available only for EAV entities. It works similar to the product attribute scope.","This is the attribute scope. It is available only for EAV entities. It works similar to the product attribute scope."
"This is the attribute type. This wil determine the table column type for this field/attribute and its behavior.","This is the attribute type. This wil determine the table column type for this field/attribute and its behavior."
"This is the base helper used for resizing images.","This is the base helper used for resizing images."
"This is the block for the entity tab on the category add/edit form","This is the block for the entity tab on the category add/edit form"
"This is the block for the entity tab on the product add/edit form","This is the block for the entity tab on the product add/edit form"
"This is the block with all the entity fields.","This is the block with all the entity fields."
"This is the block with the entity attributes.","This is the block with the entity attributes."
"This is the code folder in which your extension will be installed. If you don't know what goes here, choose ""local""","This is the code folder in which your extension will be installed. If you don't know what goes here, choose ""local"""
"This is the default helper of the module.","This is the default helper of the module."
"This is the entity admin edit block: form container","This is the entity admin edit block: form container"
"This is the entity admin edit form block","This is the entity admin edit form block"
"This is the entity admin grid. file","This is the entity admin grid. file"
"This is the entity view page main block.","This is the entity view page main block."
"This is the folder name of your new extension. Your company name should go here. Use only letters and numbers. Start with a capital letter.","This is the folder name of your new extension. Your company name should go here. Use only letters and numbers. Start with a capital letter."
"This is the main admin block for the entities. The grid container","This is the main admin block for the entities. The grid container"
"This is the main block for listing comments posted by a customer","This is the main block for listing comments posted by a customer"
"This is the parent menu id of the module menu. Leave empty to add in top menu.","This is the parent menu id of the module menu. Leave empty to add in top menu."
"This is the plural form of the label above. It will be used for lists. (For example: 'Posts')","This is the plural form of the label above. It will be used for lists. (For example: 'Posts')"
"This is the plural value of the entity code. For example 'posts'.","This is the plural value of the entity code. For example 'posts'."
"This is the prefix of your url. Example 'news', 'articles'. Leave empty for no prefix.","This is the prefix of your url. Example 'news', 'articles'. Leave empty for no prefix."
"This is the rendered for file fields.","This is the rendered for file fields."
"This is the rendered for image fields.","This is the rendered for image fields."
"This is the route name of your module. It's the first part of the URL. ('module/controller/action'). This is what goes instead of 'module'. Useful only if you have frontend listing or viewing for at least one entity. Leave empty to use default value 'namespace_module'.","This is the route name of your module. It's the first part of the URL. ('module/controller/action'). This is what goes instead of 'module'. Useful only if you have frontend listing or viewing for at least one entity. Leave empty to use default value 'namespace_module'."
"This is the sort order in the menu.","This is the sort order in the menu."
"This is the suffix of your url. Example 'html', 'htm'. Don't add the dot. Leave empty for no suffix.","This is the suffix of your url. Example 'html', 'htm'. Don't add the dot. Leave empty for no suffix."
"This is the title that will be added to the menu.","This is the title that will be added to the menu."
"This is the version of the module.","This is the version of the module."
"This is your extension/module name. It should be something meaningful and not very long.<br />Try to use a noun in singular form. Start with a capital letter.","This is your extension/module name. It should be something meaningful and not very long.<br />Try to use a noun in singular form. Start with a capital letter."
"This section should make it easier for you to use the module creator extension.","This section should make it easier for you to use the module creator extension."
"This sets the attribute as required in the admin add/edit form. Is available for all the attribute types.","This sets the attribute as required in the admin add/edit form. Is available for all the attribute types."
"This setting will add a new attribute/field that will allow you to enable/disable the comment form for each entity instance.<br /><span class=""label label-warning"">warning:</span>This option is available only if ""Allow comments"" is set to 'Yes'.","This setting will add a new attribute/field that will allow you to enable/disable the comment form for each entity instance.<br /><span class=""label label-warning"">warning:</span>This option is available only if ""Allow comments"" is set to 'Yes'."
"This tab allows you to fill in the general data about your module","This tab allows you to fill in the general data about your module"
"This template renders the customer submitted comments","This template renders the customer submitted comments"
"This will add a new dropdown attribute to the category where the options will be your entity instances.","This will add a new dropdown attribute to the category where the options will be your entity instances."
"This will add a new dropdown attribute to the product where the options will be your entity instances.","This will add a new dropdown attribute to the product where the options will be your entity instances."
"This will be added as a comment under the field in the admin add/edit form.","This will be added as a comment under the field in the admin add/edit form."
To,To
"Translation file","Translation file"
"Tree admin template","Tree admin template"
"Tree block.","Tree block."
"Tree collapsed image (gif)","Tree collapsed image (gif)"
"Tree collapsed image (png)","Tree collapsed image (png)"
"Tree edit admin template","Tree edit admin template"
"Tree edit form admin template","Tree edit form admin template"
"Tree entities rendered wrong when the view page was disabled.","Tree entities rendered wrong when the view page was disabled."
"Tree entity list images not generated","Tree entity list images not generated"
"Tree expanded image (gif)","Tree expanded image (gif)"
"Tree expanded image (png)","Tree expanded image (png)"
"Tree js file","Tree js file"
"Tree resource model for tree behaving entities.","Tree resource model for tree behaving entities."
"Tree resource model.","Tree resource model."
"Tree sibling admin template","Tree sibling admin template"
"Tree widget chooser was giving fatal error.","Tree widget chooser was giving fatal error."
Type,Type
"UI refactor","UI refactor"
"UMC generates the code in a 'human readable' form. It's easier to figure out what the code is about when the variables and methods have a propper name.<br />For example it's easier to read foreach ($_posts as $_post){...} or $_post->getTags() than foreach ($_list as $_item){...} or $_entity->getRelated('tags');<br />The value you fill in here will be used for variable names, file names and table names.","UMC generates the code in a 'human readable' form. It's easier to figure out what the code is about when the variables and methods have a propper name.<br />For example it's easier to read foreach ($_posts as $_post){...} or $_post->getTags() than foreach ($_list as $_item){...} or $_entity->getRelated('tags');<br />The value you fill in here will be used for variable names, file names and table names."
"URL prefix","URL prefix"
"URL rewrites for flat entities can be left blank and they will be auto-generated","URL rewrites for flat entities can be left blank and they will be auto-generated"
"URL suffix","URL suffix"
"Ultimate Module Creator","Ultimate Module Creator"
"Ultimate module creator","Ultimate module creator"
"Unsinged Int","Unsinged Int"
"Until now the menu could be placed in admin only on top level. Now it can be placed anywhere in the menu tree.","Until now the menu could be placed in admin only on top level. Now it can be placed anywhere in the menu tree."
"Url key save backend model","Url key save backend model"
"Use WYSIWYG editor","Use WYSIWYG editor"
"Used for product and category relations","Used for product and category relations"
Useless,Useless
"Values for manually added attributes for EAV attributes are not saved","Values for manually added attributes for EAV attributes are not saved"
"Variables that depend on attribute names now look like this: $someName instead of $some_name","Variables that depend on attribute names now look like this: $someName instead of $some_name"
Version,Version
"View page template","View page template"
"WISIWYG helper block.","WISIWYG helper block."
"WSDL file","WSDL file"
"WSI file","WSI file"
Website,Website
"When creating an entity you can drag and drop attributes to sort them in the list","When creating an entity you can drag and drop attributes to sort them in the list"
"When selecting to make an entity a product/category attribute, the attribute code was not required and resulted in errors.","When selecting to make an entity a product/category attribute, the attribute code was not required and resulted in errors."
"When setting specific permissions for an admin the comments & EAV attributes grid got ""Access denied"".","When setting specific permissions for an admin the comments & EAV attributes grid got ""Access denied""."
"Widget xml","Widget xml"
Widgets,Widgets
"Writing generated files does not work on CE-1.8.0.0","Writing generated files does not work on CE-1.8.0.0"
"Wrong EAV mass action flag change","Wrong EAV mass action flag change"
"Wrong export for EAV entities.","Wrong export for EAV entities."
"Wrong resource model parent","Wrong resource model parent"
"Yeah...like someone is going to extend it","Yeah...like someone is going to extend it"
Yes,Yes
"Yes / No","Yes / No"
"Yes-no-default source model","Yes-no-default source model"
"You can choose to allow customers to write comments on your entities.","You can choose to allow customers to write comments on your entities."
"You can not generate the files needed for the REST API of you entities.","You can not generate the files needed for the REST API of you entities."
"You can now set a SEF url for the entity list page on frontend instead of 'module/controller/action'. The value can be changed later.","You can now set a SEF url for the entity list page on frontend instead of 'module/controller/action'. The value can be changed later."
"You can set the configuration tab name and position when creating a module.","You can set the configuration tab name and position when creating a module."
"You can set the version of your generated module.","You can set the version of your generated module."
"You shouldn't use the namespace Mage. Be Creative","You shouldn't use the namespace Mage. Be Creative"
"Your extension has been created!","Your extension has been created!"
"api2.xml - REST config file","api2.xml - REST config file"
"base/default is used for all modules.","base/default is used for all modules."
"dorpdown, multiselect. Can have different sources - still experimental.","dorpdown, multiselect. Can have different sources - still experimental."
"s generated for any entity that is related many to many with categories","s generated for any entity that is related many to many with categories"
"s generated for any entity that is related many to many with products","s generated for any entity that is related many to many with products"
"system.xml file of the module","system.xml file of the module"
"widget.xml file of the module","widget.xml file of the module"
